Enter input string size: 5
Enter input string: i+i*i$
i+i*i$
Stack           Input           Action
$               i+i*i           Shift
$i              +i*i$           Reduce
$               +i*i$           Shift
$+              i*i$            Shift
$+i             *i$             Reduce
$+              *i$             Shift
$+*             i$              Shift
$+*i            $               Reduce
$+*             $               Reduce
$+              $               Reduce
$               $               String Accepted
